make,year,newprice,kmperliter,km,horsepower,gearbox,fueltype,doornumber,price
Mercedes-Benz,2016,700000,25,125182,120,1,0,5,728019.0348
Mercedes-Benz,2002,700000,25,126515,54,0,0,5,697080.8965
Mercedes-Benz,2003,700000,25,124006,86,1,0,5,700584.3304
Mercedes-Benz,2003,700000,25,68460,74,0,0,5,711827.642
Mercedes-Benz,2010,700000,25,3085,114,1,0,5,740010.2235
Mercedes-Benz,2010,700000,25,144134,79,0,0,5,712839.9042
Mercedes-Benz,2001,700000,25,145528,116,0,0,5,692441.8096
Mercedes-Benz,2000,700000,25,193206,78,1,0,5,679018.6718
Mercedes-Benz,2012,700000,25,106307,68,0,0,5,721972.3521
Mercedes-Benz,2019,700000,25,57106,99,1,0,5,749485.3474
Mercedes-Benz,2017,700000,25,145920,88,1,0,5,726157.912
Mercedes-Benz,2014,700000,25,84726,87,0,0,5,731581.0674
Mercedes-Benz,2009,700000,25,174087,62,0,0,5,702554.0603
Mercedes-Benz,2016,700000,25,117780,67,1,0,5,729209.082
Mercedes-Benz,2017,700000,25,130952,72,0,0,5,728841.3656
Mercedes-Benz,2002,700000,25,36789,55,0,0,5,716568.1723
Mercedes-Benz,2021,700000,25,187933,84,1,0,5,724433.601
Mercedes-Benz,2006,700000,25,182305,72,1,0,5,695444.099
Mercedes-Benz,2019,700000,25,135738,62,0,0,5,730478.0016
Mercedes-Benz,2012,700000,25,96952,68,0,0,5,725269.7584
Mercedes-Benz,2017,700000,25,48077,119,0,0,5,744509.0991
Mercedes-Benz,2018,700000,25,11396,78,1,0,5,754781.0508
Mercedes-Benz,2006,700000,25,147910,117,1,0,5,703023.344
Mercedes-Benz,2011,700000,25,135503,88,1,0,5,713545.7424
Mercedes-Benz,2015,700000,25,108502,93,1,0,5,731509.4988
Mercedes-Benz,2008,700000,25,121996,54,0,0,5,711544.6324
Mercedes-Benz,2015,700000,25,101427,115,0,0,5,729323.0468
Mercedes-Benz,2017,700000,25,113346,101,0,0,5,732482.2336
Mercedes-Benz,2020,700000,25,165818,104,0,0,5,727624.8396
