,Make,Brændstoftype,Gearkasse,Model,Kilometer,Årgang,Hestekræfter,Antal døre,Antal gear,Km/l,0 - 100 km/t,Tophastighed,Vægt,Grøn Ejerafgift,Nypris,Pris
7831,VW,Benzin,Manuel,Polo,248000,1995,55,3,5,13.6,16.3,156.0,875.0,3.52,124796.0,9990
14215,Mazda,Benzin,Manuel,626,44000,1995,115,5,5,12.7,10.6,198.0,1.2,4.68,242994.0,30000
17816,Ford,Benzin,Manuel,Mondeo,192000,1996,115,4,5,12.82,11.0,195.0,1.248,4.68,200000.0,3500
16681,Mercedes,Benzin,Manuel,C280,304000,1996,193,4,5,9.4,8.8,230.0,1.5,6.1,866622.0,24500
6713,Toyota,Benzin,Manuel,Starlet,222000,1996,75,3,5,14.0,11.2,170.0,825.0,3.52,117995.0,11900
7439,Peugeot,Benzin,Manuel,306,82000,1997,123,5,5,12.2,10.4,197.0,1.101,4.68,219988.0,19900
2143,Audi,Benzin,Manuel,A4,238000,1997,150,4,5,11.9,9.1,220.0,1.26,4.96,346898.0,12900
8705,Jaguar,Benzin,Automatisk,XK,152000,1997,294,2,5,8.7,7.0,248.0,1.65,8.4,1570000.0,190000
14356,VW,Benzin,Manuel,Polo,222000,1997,75,3,5,14.1,12.2,172.0,900.0,3.74,138715.0,4900
8781,Volvo,Benzin,Manuel,V70,325000,1997,126,5,5,10.0,11.9,195.0,1.4,6.1,369996.0,6800
850,Volvo,Benzin,Manuel,V40,204000,1997,140,5,5,11.1,9.7,205.0,1.2,5.58,286498.0,19990
1655,Audi,Diesel,Automatisk,A3,316000,1997,90,3,4,16.1,13.7,177.0,1.195,7.38,299013.0,14900
4454,BMW,Benzin,Automatisk,528i,367000,1997,193,5,5,9.3,8.8,234.0,1.47,8.02,712500.0,29900
10040,BMW,Benzin,Manuel,Z3,203000,1997,140,2,5,12.9,9.5,205.0,1.185,4.68,433793.0,89900
11690,BMW,Benzin,Automatisk,520i,132000,1997,150,4,5,11.1,10.2,220.0,1.4,6.1,464074.0,69900
6986,BMW,Benzin,Manuel,Z3,258000,1997,192,2,5,10.3,7.1,218.0,1.26,4.68,571500.0,129800
18280,Audi,Benzin,Manuel,A3,221000,1997,101,3,5,13.2,11.0,188.0,1.09,3.52,214999.0,9800
10174,Toyota,Benzin,Manuel,Corolla,338000,1997,86,3,5,14.5,12.5,175.0,1.025,3.14,170993.0,7900
1496,Volvo,Benzin,Manuel,S70,246000,1997,126,4,5,10.0,11.7,195.0,1.35,6.1,349996.0,19900
10175,Honda,Benzin,Manuel,Civic,95000,1997,90,3,5,14.0,11.0,182.0,975.0,3.52,164950.0,9900
17466,Audi,Benzin,Manuel,A6,245000,1998,165,5,5,10.1,9.4,220.0,1.48,6.82,503987.0,19900
14243,Peugeot,Benzin,Manuel,306,219000,1998,112,5,5,12.05,11.2,192.0,1.075,4.96,181990.0,9990
7667,Opel,Benzin,Manuel,Astra,165000,1998,75,4,5,13.3,14.5,168.0,1.01,3.74,172500.0,6900
12237,Mercedes,Benzin,Automatisk,SLK230,99000,1998,193,2,5,10.5,7.3,227.0,1.25,6.2,696000.0,139800
6714,BMW,Benzin,Manuel,523i,270000,1998,170,4,5,10.6,8.5,228.0,1.45,6.2,476666.0,34900
8265,Toyota,Benzin,Manuel,Avensis,170000,1998,110,5,5,12.3,11.7,195.0,1.2,4.96,210997.0,16500
13528,Citroën,Benzin,Manuel,Saxo,165000,1998,75,5,5,15.4,12.9,175.0,850.0,2.52,127999.0,13500
4780,Toyota,Benzin,Manuel,Avensis,306000,1998,110,5,5,13.5,11.0,195.0,1.2,3.74,221995.0,10900
4707,BMW,Benzin,Manuel,Z3,122000,1998,115,2,5,12.8,10.5,194.0,1.16,4.36,389930.0,125800
7969,Audi,Benzin,Manuel,A3,179000,1998,101,3,5,13.2,11.0,188.0,1.09,4.36,245000.0,16500
9975,Mercedes,Benzin,Manuel,A160,168000,1998,102,5,5,13.9,10.8,180.0,1.025,3.74,217100.0,5000
10025,Fiat,Benzin,Manuel,Barchetta,212000,1998,130,2,5,11.76,8.9,200.0,1.06,4.96,317591.0,59500
17090,Toyota,Benzin,Manuel,Avensis,208000,1998,110,5,5,13.5,11.0,195.0,1.2,3.74,206993.0,15990
7171,Mercedes,Benzin,Automatisk,SLK230,316000,1998,193,2,5,10.5,7.3,227.0,1.25,6.2,696000.0,69900
2734,VW,Benzin,Manuel,Golf,180000,1998,101,5,5,13.0,10.9,188.0,1.1,4.36,207209.0,24900
3526,Peugeot,Benzin,Manuel,106,271000,1998,75,5,5,14.49,13.2,178.0,850.0,3.14,127986.0,6900
1621,Fiat,Benzin,Manuel,Seicento,76000,1998,39,3,5,16.4,18.0,140.0,700.0,2.52,96450.0,24900
7193,VW,Benzin,Manuel,Passat,191000,1998,101,4,5,12.3,12.5,192.0,1.225,4.96,242537.0,11800
964,Audi,Benzin,Manuel,A4,301000,1998,101,4,5,12.66,11.9,190.0,1.175,4.36,274177.0,5800
6075,Nissan,Benzin,Manuel,Micra,177000,1999,55,5,5,16.7,16.4,150.0,850.0,1.88,124986.0,6500
17799,Mazda,Benzin,Manuel,Demio,300000,1999,72,5,5,14.3,13.2,158.0,950.0,3.14,144994.0,3500
14195,Toyota,Benzin,Manuel,Avensis,266000,1999,110,4,5,13.5,11.0,195.0,1.175,3.74,217995.0,9900
16566,Volvo,Benzin,Manuel,V70,429000,1999,170,5,5,10.6,9.2,210.0,1.425,6.2,429998.0,23995
7445,Skoda,Benzin,Manuel,Octavia,186000,1999,101,5,5,12.8,12.2,187.0,1.175,4.36,189994.0,14800
944,Hyundai,Benzin,Manuel,Elantra,132000,1999,138,4,5,12.2,9.0,202.0,1.15,4.96,179994.0,14900
14106,Mazda,Benzin,Manuel,323F,191000,1999,73,5,5,13.7,14.2,167.0,1.05,3.74,157995.0,9500
7190,Peugeot,Benzin,Manuel,406,221000,1999,136,2,5,10.6,10.5,205.0,1.315,6.2,350000.0,36900
8757,Mercedes,Benzin,Automatisk,CLK320,292000,1999,218,2,5,10.0,7.4,240.0,1.4,6.82,1077000.0,69999
13512,Toyota,Benzin,Manuel,Avensis,329000,1999,110,4,5,13.5,11.0,195.0,1.175,3.74,206997.0,7900
16446,Volvo,Benzin,Manuel,S80,416000,1999,204,4,5,10.3,8.2,235.0,1.525,6.82,597298.0,18500
11663,VW,Benzin,Manuel,New,272000,1999,115,2,5,11.5,11.3,186.0,1.2,5.58,259999.0,14700
1785,VW,Benzin,Manuel,Lupo,164000,1999,50,3,5,17.9,17.9,152.0,900.0,1.88,124753.0,11999
4259,Chrysler,Benzin,Manuel,300M,313000,1999,254,4,5,9.3,8.8,230.0,1.55,8.02,599998.0,17800
3892,Toyota,Benzin,Manuel,Celica,317000,1999,143,3,6,13.0,8.7,205.0,1.1,4.36,319997.0,59900
1818,VW,Benzin,Automatisk,New,136000,1999,115,2,4,10.5,12.9,182.0,1.225,6.2,359628.0,50000
8793,Saab,Benzin,Manuel,9-5,355000,1999,150,5,5,10.9,10.2,210.0,1.525,6.2,450500.0,12500
14413,Skoda,Benzin,Manuel,Octavia,220000,1999,101,5,5,12.82,12.2,187.0,1.175,4.36,189994.0,7900
19767,Toyota,Benzin,Manuel,Avensis,255000,1999,110,5,5,12.8,11.2,190.0,1.225,4.36,222996.0,18000
8795,Toyota,Benzin,Manuel,Avensis,373000,1999,128,5,5,12.0,10.5,205.0,1.25,4.96,239997.0,9800
11732,Skoda,Benzin,Manuel,Fabia,129000,2000,60,5,5,14.3,16.5,157.0,1.025,3.14,124994.0,14900
7870,Mazda,Benzin,Manuel,626,286000,2000,100,4,5,13.2,12.6,180.0,1.175,4.36,204990.0,9990
14393,Audi,Benzin,Automatisk,A6,382000,2000,165,4,5,9.35,10.5,217.0,1.475,8.02,500876.0,19900
16720,BMW,Benzin,Automatisk,X5,332000,2000,286,5,6,7.2,7.5,207.0,2.08,11.74,1190000.0,79900
7809,VW,Benzin,Manuel,Polo,301000,2000,75,3,5,16.0,12.3,172.0,950.0,2.52,156787.0,14990
4576,Audi,Benzin,Manuel,TT,160000,2000,180,2,5,11.9,8.1,222.0,1.34,4.96,629881.0,129900
2733,Renault,Benzin,Manuel,Megane,76000,2000,107,2,5,14.29,10.1,200.0,1.1,3.14,285000.0,59800
233,BMW,Benzin,Manuel,318i,400000,2000,118,5,5,12.3,10.9,213.0,1.3,4.96,353500.0,9800
7283,Toyota,Benzin,Automatisk,Yaris,177000,2000,86,3,4,14.9,13.1,165.0,875.0,3.14,180998.0,19900
1350,VW,Benzin,Manuel,Golf,263000,2000,115,5,5,12.5,10.5,196.0,1.075,4.36,228543.0,17900
2076,VW,Benzin,Manuel,Polo,248000,2000,75,5,5,16.0,12.3,172.0,950.0,2.52,163387.0,9900
2879,Skoda,Benzin,Manuel,Fabia,87000,2000,68,5,5,14.3,15.4,162.0,1.025,3.14,129998.0,14900
13475,VW,Benzin,Manuel,Sharan,410000,2000,150,5,6,10.4,10.2,199.0,1.675,6.82,437445.0,12900
14537,Opel,Benzin,Manuel,Astra,120000,2000,75,5,5,13.9,14.5,170.0,1.05,3.74,182995.0,14500
18841,Mercedes,Diesel,Automatisk,E320,334000,2000,197,4,5,12.8,8.3,230.0,1.55,10.82,935900.0,20000
14252,VW,Benzin,Manuel,Passat,360000,2000,150,5,5,11.9,9.1,217.0,1.317,4.96,332451.0,11500
13262,Renault,Benzin,Manuel,Clio,162000,2000,90,3,5,13.9,10.6,181.0,950.0,3.74,152994.0,11900
5296,VW,Benzin,Manuel,New,285000,2000,115,2,5,11.5,11.3,186.0,1.2,5.58,326764.0,19900
3914,Volvo,Benzin,Manuel,V70,494000,2000,200,5,5,10.8,7.9,225.0,1.55,6.2,532996.0,19900
17869,Audi,Benzin,Manuel,TT,195000,2000,180,2,5,12.1,8.1,222.0,1.34,4.96,629881.0,95000
10255,Volvo,Benzin,Manuel,S80,261000,2000,170,4,5,11.2,9.0,220.0,1.425,5.58,535348.0,25000
3217,Subaru,Benzin,Manuel,Legacy,314000,2000,125,4,5,11.1,10.4,194.0,1.35,5.58,254996.0,9900
16964,VW,Benzin,Manuel,Golf,142000000,2000,101,2,5,12.5,11.9,185.0,1.125,4.36,327394.0,59900
11668,BMW,Benzin,Manuel,535i,240000,2000,245,4,5,8.55,7.4,247.0,1.63,9.3,809500.0,64900
17818,VW,Benzin,Manuel,Golf,350000,2000,115,5,5,12.6,10.5,196.0,1.075,4.36,228543.0,3500
11555,Toyota,Benzin,Manuel,Avensis,231000,2001,150,5,5,13.0,9.4,210.0,1.25,4.36,293992.0,17900
391,BMW,Benzin,Manuel,520i,387000,2001,170,4,5,11.1,9.1,226.0,1.45,5.58,484500.0,24900
12063,Peugeot,Benzin,Manuel,307,315000,2001,110,5,5,13.9,10.7,190.0,1.2,3.74,184990.0,9400
8921,Toyota,Benzin,Manuel,Corolla,205000,2001,97,3,5,14.7,11.8,185.0,1.05,3.14,164993.0,18400
8599,Peugeot,Benzin,Manuel,607,201000,2001,160,4,5,10.9,9.6,220.0,1.425,6.2,430000.0,6500
1607,Mazda,Benzin,Manuel,MX-5,169000,2001,110,2,5,12.5,9.7,191.0,1.025,4.36,289989.0,99500
11194,Opel,Benzin,Manuel,Corsa,292000,2001,65,5,5,15.9,14.0,163.0,875.0,2.52,134995.0,11800
1269,VW,Benzin,Manuel,Golf,228000,2001,101,5,5,14.1,10.9,188.0,1.1,3.74,230998.0,7700
16844,Renault,Benzin,Manuel,Megane,186000,2001,110,5,5,13.9,10.3,193.0,1.1,3.74,199997.0,5000
13976,Skoda,Benzin,Manuel,Fabia,270000,2001,68,5,5,13.9,15.8,164.0,1.1,3.74,153998.0,6500
4970,Saab,Benzin,Manuel,9-5,382000,2001,170,4,5,10.4,8.5,225.0,1.5,6.82,470000.0,15000
4962,Nissan,Diesel,Manuel,Almera,198000,2001,110,3,5,16.9,11.5,185.0,1.275,7.38,230000.0,5000
4871,Alfa,Benzin,Manuel,Romeo,257000,2001,150,4,5,11.5,8.6,214.0,1.25,5.58,313999.0,12800
14902,Audi,Benzin,Automatisk,A6,326000,2001,170,5,2,10.3,9.6,218.0,1.57,6.82,569498.0,24800
4788,Toyota,Benzin,Manuel,Avensis,355000,2001,129,5,5,13.5,10.4,200.0,1.2,3.74,235996.0,12000
15221,Mazda,Benzin,Manuel,Premacy,250000,2001,100,5,5,11.9,11.8,175.0,1.21,4.96,214989.0,4900
15479,Mercedes,Benzin,Manuel,A160,210000,2001,102,5,5,13.9,10.8,180.0,1.025,3.74,346888.0,29900
14686,Peugeot,Benzin,Manuel,206,181000,2001,110,2,5,14.3,11.2,193.0,1.125,3.14,219990.0,28000
19800,Mercedes,Diesel,Automatisk,C220,508000,2001,143,5,5,14.1,11.0,209.0,1.475,9.1,726966.0,24400
593,Renault,Benzin,Manuel,Scenic,256000,2001,110,5,5,13.7,11.2,185.0,1.25,3.74,229999.0,8900
19848,VW,Benzin,Manuel,Golf,247000,2001,115,5,5,12.6,10.5,196.0,1.075,4.36,255399.0,19900
3261,Skoda,Benzin,Manuel,Fabia,222000,2001,101,5,5,14.1,11.6,186.0,1.1,3.74,173997.0,17900
16511,Toyota,Benzin,Manuel,Avensis,291000,2001,129,4,5,13.5,10.0,200.0,1.175,3.74,254994.0,24500
