make,year,newprice,kmperliter,km,horsepower,gearbox,fueltype,doornumber,price
Jaguar,2011,410276,18,159105,98,0,1,3,322639.849
Dodge,2013,405296,24,43742,76,1,1,3,375616.987
Mazda,2000,389578,11,157608,108,0,1,3,336521.6272
Dodge,2008,548348,26,21134,83,1,1,3,547708.0046
Honda,2000,438530,21,165469,99,1,1,3,415471.25549999997
Fiat,2010,407583,28,13039,74,1,1,3,401939.1639
Kia,2002,470008,20,75867,86,0,1,5,446598.6147
BMW,2018,314534,14,47661,115,1,1,5,253005.6175
Mercedes-Benz,2004,537917,19,2020,107,1,0,5,570396.356
Mazda,2000,341457,30,92060,113,1,1,3,353423.82
Dodge,2002,604341,17,56025,99,0,0,5,581191.1175
Alfa Romeo,2011,488885,17,133096,114,0,0,3,430405.3424
Mercedes-Benz,2012,432157,15,143423,105,0,0,5,348775.9251
Dodge,2003,484270,26,167268,86,1,1,5,471599.3592
Honda,2002,328547,27,153077,93,1,1,3,285141.9662
Alfa Romeo,2021,510410,11,193798,69,0,1,3,415461.6868
Chevrolet,2019,427826,17,64198,70,1,1,3,385372.8396
Mazda,2000,393222,26,114322,72,0,0,3,379695.6528
Mazda,2016,475621,11,24010,68,1,1,5,449514.544
Kia,2015,682953,28,126207,56,1,1,3,621459.1357
Chevrolet,2007,639363,17,100975,65,1,0,5,594834.5575
Chevrolet,2011,653503,10,164476,56,0,1,3,571360.8628
Kia,2013,548865,23,7787,83,0,1,3,500411.9385
Mazda,2007,616583,27,43790,64,1,0,3,599116.727
Mercedes-Benz,2000,400757,13,11273,85,1,0,5,440965.7053
Alfa Romeo,2008,686551,19,134157,84,0,1,5,648502.5129
Jaguar,2002,480836,20,20922,119,0,1,5,479799.5128
Chevrolet,2008,677138,19,197277,112,0,0,3,623443.9236
Honda,2008,625390,18,121499,90,1,1,3,570117.3001
Mercedes-Benz,2006,585011,24,74560,85,0,1,3,557097.016
Mercedes-Benz,2012,518007,16,102769,78,1,0,5,492208.817
Dodge,2002,456053,13,197390,95,1,1,5,401158.849
Honda,2019,581118,16,185379,91,0,1,5,439869.7358
Fiat,2016,685635,24,10367,107,0,1,5,644963.1293
Dodge,2021,617551,15,3755,118,0,0,5,582045.0155
Dodge,2014,413044,21,14014,77,1,1,3,391623.3216
Fiat,2013,639165,25,29972,101,0,0,3,612896.79
BMW,2008,461087,28,17090,103,0,0,5,443536.318
Dodge,2019,509378,18,196263,94,0,0,3,366961.44779999997
Alfa Romeo,2014,523444,27,111080,94,0,0,3,464871.232
Mercedes-Benz,2016,513816,28,86882,94,0,0,3,455621.0512
Alfa Romeo,2010,587482,19,108782,98,0,0,3,538000.4232000001
